Song:
	samples=10577664
	channels=2
	BPM=127.5258
	points=20660
Idx                 Time                Start Sample        End Sample          delta               rawBPM              BPM                 
2999                34.81832            3070976             3071999             0.1625404           369.1389            92.28473            
3001                34.84154            3073024             3074047             0.02322006          2583.972            80.74914            
3015                35.00408            3087360             3088383             0.1625404           369.1389            92.28473            
3020                35.06213            3092480             3093503             0.05804825          1033.623            129.2029            
3054                35.45687            3127296             3128319             0.3947411           151.9984            151.9984            
3080                35.75873            3153920             3154943             0.3018608           198.7671            99.38355            
3089                35.86322            3163136             3164159             0.1044884           574.2266            143.5566            
3099                35.97932            3173376             3174399             0.1161003           516.7945            129.1986            
3103                36.02576            3177472             3178495             0.04644012          1291.986            80.74914            
3132                36.36245            3207168             3208191             0.336689            178.206             89.103              
3161                36.69914            3236864             3237887             0.336689            178.206             89.103              
3181                36.93134            3257344             3258367             0.2322006           258.3972            129.1986            
3185                36.97778            3261440             3262463             0.04644012          1291.986            80.74914            
3215                37.32608            3292160             3293183             0.3482971           172.2667            86.13335            
3241                37.62794            3318784             3319807             0.3018608           198.7671            99.38355            
3262                37.87175            3340288             3341311             0.2438087           246.0945            123.0473            
3303                38.34776            3382272             3383295             0.4760094           126.0479            126.0479            
3324                38.59156            3403776             3404799             0.2438087           246.0945            123.0473            
3344                38.82376            3424256             3425279             0.2322006           258.3972            129.1986            
3376                39.19528            3457024             3458047             0.3715172           161.4999            80.74997            
3404                39.52036            3485696             3486719             0.3250809           184.5695            92.28473            
3424                39.75256            3506176             3507199             0.2322006           258.3972            129.1986            
3485                40.46077            3568640             3569663             0.7082062           84.72109            169.4422            
3505                40.69297            3589120             3590143             0.2322006           258.3972            129.1986            
3567                41.41279            3652608             3653631             0.7198181           83.35439            166.7088            
3588                41.6566             3674112             3675135             0.2438087           246.0945            123.0473            
3650                42.37642            3737600             3738623             0.7198219           83.35395            166.7079            
3729                43.29361            3818496             3819519             0.9171867           65.41743            130.8349            
3749                43.52581            3838976             3839999             0.2322006           258.3972            129.1986            
3811                44.24562            3902464             3903487             0.7198181           83.35439            166.7088            
3831                44.47782            3922944             3923967             0.2321968           258.4015            129.2007            
3892                45.18603            3985408             3986431             0.70821             84.72063            169.4413            
3910                45.39501            4003840             4004863             0.2089806           287.108             143.554             
3971                46.10322            4066304             4067327             0.7082062           84.72109            169.4422            
3973                46.12644            4068352             4069375             0.02322006          2583.972            80.74914            
4056                47.09007            4153344             4154367             0.9636307           62.26452            124.529             
4061                47.14812            4158464             4159487             0.05804825          1033.623            129.2029            
4073                47.28744            4170752             4171775             0.1393204           430.6621            107.6655            
4132                47.97243            4231168             4232191             0.6849899           87.59253            175.1851            
4152                48.20462            4251648             4252671             0.2321968           258.4015            129.2007            
4214                48.92445            4315136             4316159             0.7198219           83.35395            166.7079            
4221                49.00571            4322304             4323327             0.08126831          738.2952            92.2869             
4234                49.15664            4335616             4336639             0.1509285           397.5392            99.38481            
4296                49.87646            4399104             4400127             0.7198181           83.35439            166.7088            
4301                49.93451            4404224             4405247             0.05805206          1033.555            129.1944            
4318                50.13188            4421632             4422655             0.1973686           303.9997            151.9998            
4323                50.18993            4426752             4427775             0.05805206          1033.555            129.1944            
4363                50.65433            4467712             4468735             0.4643974           129.1997            129.1997            
4368                50.71238            4472832             4473855             0.05804825          1033.623            129.2029            
4375                50.79365            4480000             4481023             0.08127213          738.2605            92.28256            
4395                51.02585            4500480             4501503             0.2322006           258.3972            129.1986            
4456                51.73406            4562944             4563967             0.7082062           84.72109            169.4422            
4463                51.81533            4570112             4571135             0.08127213          738.2605            92.28256            
4477                51.97787            4584448             4585471             0.1625366           369.1476            92.2869             
4520                52.4771             4628480             4629503             0.4992294           120.1852            120.1852            
4538                52.68608            4646912             4647935             0.2089806           287.108             143.554             
4545                52.76735            4654080             4655103             0.08126831          738.2952            92.2869             
4559                52.92989            4668416             4669439             0.1625404           369.1389            92.28473            
4592                53.31301            4702208             4703231             0.3831291           156.6052            156.6052            
4619                53.62648            4729856             4730879             0.3134689           191.4065            95.70326            
4622                53.66132            4732928             4733951             0.034832            1722.554            107.6596            
4639                53.85868            4750336             4751359             0.1973686           303.9997            151.9998            
4657                54.06767            4768768             4769791             0.2089806           287.108             143.554             
4698                54.54367            4810752             4811775             0.4760094           126.0479            126.0479            
4722                54.82231            4835328             4836351             0.2786369           215.334             107.667             
